Prese,25.4,,25.4,,64.3,,64.3,,1160,,1160.0,
Jet > 2,25.4,0.0,25.4,0.0,64.3,0.0,64.3,0.0,1160.0,0.0,1160.0,0.0
Jet > 6,21.7,-14.6,21.6,-15.0,50.7,-21.2,49.0,-23.9,798.0,-31.2,846.7,-27.0
Dphi(j3)>0.4,18.1,-16.6,17.9,-17.1,43.6,-14.0,42.3,-13.6,700.0,-12.3,733.3,-13.4
Dphi(rest)>0.2,14.4,-20.4,14.0,-21.5,35.9,-17.7,35.0,-17.2,600.0,-14.3,616.8,-15.9
pt(j6)>75,12.3,-14.6,11.9,-15.4,25.7,-28.4,24.7,-29.4,313.0,-47.8,352.3,-42.9
eta(j6)<2.0,10.5,-14.6,10.1,-15.0,22.6,-12.1,21.2,-14.2,260.0,-16.9,286.6,-18.7
Aplanarity>0.08,7.3,-30.7,6.9,-31.3,16.0,-29.2,15.0,-29.4,171.0,-34.2,192.4,-32.9
Etmiss_HT>16,3.6,-50.8,3.4,-51.0,6.9,-56.8,6.5,-56.7,42.8,-75.0,49.4,-74.3
Meff>1000,3.6,0.0,3.4,0.0,6.9,0.0,6.5,0.0,42.8,0.0,49.4,0.0
Prese,25.4,,25.4,,64.3,,64.3,,1160.0,,11.0,
Jet > 2,25.4,0.0,25.4,0.0,64.3,0.0,64.3,0.0,1160.0,0.0,1160.0,0.0
Jet > 6,21.7,-14.6,21.6,-15.0,50.7,-21.2,49.0,-23.9,798.0,-31.2,846.7,-27.0
Dphi(j3)>0.4,18.1,-16.6,17.9,-17.1,43.6,-14.0,42.3,-13.6,700.0,-12.3,733.3,-13.4
Dphi(rest)>0.2,14.4,-20.4,14.0,-21.5,35.9,-17.7,35.0,-17.2,600.0,-14.3,616.8,-15.9
pt(j6)>75,12.3,-14.6,11.9,-15.4,25.7,-28.4,24.7,-29.4,313.0,-47.8,352.3,-42.9
eta(j6)<2.0,10.5,-14.6,10.1,-15.0,22.6,-12.1,21.2,-14.2,260.0,-16.9,286.6,-18.7
Aplanarity>0.08,7.3,-30.7,6.9,-31.3,16.0,-29.2,15.0,-29.4,171.0,-34.2,192.4,-32.9
Etmiss_HT>16,3.6,-50.7,3.4,-51.0,6.9,-56.8,6.5,-56.7,42.8,-75.0,49.4,-74.3
Meff>2200,3.6,-0.6,3.4,-0.6,4.9,-29.5,4.4,-31.6,5.0,-88.4,6.0,-87.9
Prese,25.4,,25.4,,64.3,,64.3,,1160.0,,1160.0,
Jet > 2,25.4,0.0,25.4,0.0,64.3,0.0,64.3,0.0,1160.0,0.0,1160.0,0.0
Jet > 6,21.7,-14.6,21.6,-15.0,50.7,-21.2,49.0,-23.9,798.0,-31.2,846.7,-27.0
Dphi(j3)>0.4,18.1,-16.6,17.9,-17.1,43.6,-14.0,42.3,-13.6,700.0,-12.3,733.3,-13.4
Dphi(rest)>0.2,14.4,-20.4,14.0,-21.5,35.9,-17.7,35.0,-17.2,600.0,-14.3,616.8,-15.9
pt(j6)>75,12.3,-14.6,11.9,-15.4,25.7,-28.4,24.7,-29.4,313.0,-47.8,352.3,-42.9
eta(j6)<2.0,10.5,-14.6,10.1,-15.0,22.6,-12.1,21.2,-14.2,260.0,-16.9,286.6,-18.7
Aplanarity>0.08,7.3,-30.7,6.9,-31.3,16.0,-29.2,15.0,-29.4,171.0,-34.2,192.4,-32.9
Etmiss_HT>10,6.0,-17.2,5.6,-18.6,13.5,-15.6,12.8,-14.7,143.0,-16.4,163.1,-15.2
Meff> 3400,3.6,-41.0,3.3,-42.3,0.3,-98.1,0.3,-98.0,0.2,-99.9,0.2,-99.9
,,,,,,,,,,,,
,,,,,,,,,,,,
t5,,,,,,,,,,,,
