Prese,6101.00,,6101.00,
Jet > 2,6101.00,0.00,6101.00,0.00
Jet > 5,3513.00,-42.42,3600.49,-40.99
Dphi(j3)>0.4,2985.00,-15.03,3076.04,-14.57
Dphi(rest)>0.2,2669.00,-10.59,2755.86,-10.41
pt(j1)>600,240.00,-91.01,258.30,-90.63
Etmiss_HT>16,68.40,-71.50,99.20,-61.60
Meff>1600,68.40,0.00,98.21,-0.99
Prese,6101.00,,6101.00,
Jet > 2,6101.00,0.00,6101.00,0.00
Jet > 6,1752.00,-71.28,1871.94,-69.32
Dphi(j3)>0.4,1448.00,-17.35,1557.66,-16.79
Dphi(rest)>0.2,1252.00,-13.54,1344.54,-13.68
pt(j6)>75,388.00,-69.01,459.64,-65.81
eta(j6)<2.0,250.00,-35.57,325.09,-29.27
Aplanarity<>0.08,123.00,-50.80,159.11,-51.06
Etmiss_HT>16,10.40,-91.54,17.68,-88.89
Meff>1000,10.40,0.00,17.68,0.00
Prese,6101.00,,6101.00,
Jet > 2,6101.00,0.00,6101.00,0.00
Jet > 6,1752.00,-71.28,1871.94,-69.32
Dphi(j3)>0.4,1448.00,-17.35,1557.66,-16.79
Dphi(rest)>0.2,1252.00,-13.54,1344.54,-13.68
pt(j6)>75,388.00,-69.01,459.64,-65.81
eta(j6)<2.0,250.00,-35.57,325.09,-29.27
Aplanarity<>0.08,123.00,-50.80,159.11,-51.06
Etmiss_HT>16,10.40,-91.54,17.68,-88.89
Meff>2200,3.31,-68.17,4.91,-72.22
Prese,6101.00,,6101.00,
Jet > 2,6101.00,0.00,6101.00,0.00
Jet > 6,1752.00,-71.28,1871.94,-69.32
Dphi(j3)>0.4,1448.00,-17.35,1557.66,-16.79
Dphi(rest)>0.2,1252.00,-13.54,1344.54,-13.68
pt(j6)>75,388.00,-69.01,459.64,-65.81
eta(j6)<2.0,250.00,-35.57,325.09,-29.27
Aplanarity<>0.08,123.00,-50.80,159.11,-51.06
Etmiss_HT>10,84.60,-31.22,131.61,-17.28
Meff> 3400,0.00,-100.00,0.00,-100.00
